routename,routeid,start,end,length,ave_speed(m/s),ave_grad,gap_time(s),track,path
R246,EC5488D(C),EC5488,TD5055,3271.94707,13.4932108,0.030885373,249.2741184,,"['P1056', 'P1062', 'P1053', 'P355', 'P1300', 'P423', 'P422', 'P1542', 'P1530', 'P421', 'P332', 'P333', 'P1299', 'P1298', 'P331', 'P330', 'P1001', 'P1658', 'P1657', 'P286', 'P319', 'P318', 'P317', 'P316', 'P1002', 'P820', 'P1061', 'P1060', 'P816']"
R181,EC5488D(M),EC5488,TD5055,3271.94707,13.4932108,0.030885373,249.2741184,"['TEDG', 'TEDC', 'TFDR', 'TFDU', 'TDCG', 'TDCB', 'TDCA', 'TDPK', 'TDPJ', 'TDPG']","['P1056', 'P1062', 'P1053', 'P355', 'P1300', 'P423', 'P422', 'P1542', 'P1530', 'P421', 'P332', 'P333', 'P1299', 'P1298', 'P331', 'P330', 'P1001', 'P1658', 'P1657', 'P286', 'P319', 'P318', 'P317', 'P316', 'P1002', 'P820', 'P1061', 'P1060', 'P816']"
R247,EC5488E(C),EC5488,TD5054,3139.054042,12.01174226,0.032192917,270.4645395,,"['P1056', 'P1062', 'P1053', 'P355', 'P1300', 'P423', 'P422', 'P1542', 'P1530', 'P421', 'P332', 'P333', 'P1299', 'P1298', 'P331', 'P330', 'P1001', 'P1658', 'P1657', 'P286', 'P285', 'P289', 'P290', 'P288', 'P998', 'P996', 'P822', 'P994', 'P988', 'P815']"
R182,EC5488E(M),EC5488,TD5054,3139.054042,12.01174226,0.032192917,270.4645395,"['TEDG', 'TEDC', 'TFDR', 'TFDU', 'TDCG', 'TDCB', 'TRJS', 'TRJV', 'TRJW', 'TRJY']","['P1056', 'P1062', 'P1053', 'P355', 'P1300', 'P423', 'P422', 'P1542', 'P1530', 'P421', 'P332', 'P333', 'P1299', 'P1298', 'P331', 'P330', 'P1001', 'P1658', 'P1657', 'P286', 'P285', 'P289', 'P290', 'P288', 'P998', 'P996', 'P822', 'P994', 'P988', 'P815']"
R248,EC5488F(C),EC5488,TD5053,3161.57857,12.00578806,0.03196356,272.4799769,,"['P1056', 'P1062', 'P1053', 'P355', 'P1300', 'P423', 'P422', 'P1542', 'P1530', 'P421', 'P332', 'P333', 'P1299', 'P1298', 'P331', 'P330', 'P1001', 'P1658', 'P1657', 'P286', 'P285', 'P289', 'P284', 'P283', 'P282', 'P997', 'P995', 'P821', 'P993', 'P987', 'P814']"
R183,EC5488F(M),EC5488,TD5053,3161.57857,12.00578806,0.03196356,272.4799769,"['TEDG', 'TEDC', 'TFDR', 'TFDU', 'TDCG', 'TDCB', 'TNGW', 'TNGU', 'TNGS', 'TNGR']","['P1056', 'P1062', 'P1053', 'P355', 'P1300', 'P423', 'P422', 'P1542', 'P1530', 'P421', 'P332', 'P333', 'P1299', 'P1298', 'P331', 'P330', 'P1001', 'P1658', 'P1657', 'P286', 'P285', 'P289', 'P284', 'P283', 'P282', 'P997', 'P995', 'P821', 'P993', 'P987', 'P814']"
R74,EC5489A(M),EC5489,DC5081,2431.473266,15.72892584,1.095207758,214.512639,"['TECW', 'TFDY', 'TFDW', 'TFDU', 'TFDR']","['P825', 'P1048', 'P390', 'P391', 'P393', 'P392', 'P414', 'P415', 'P416', 'P1296', 'P1297', 'P417', 'P419', 'P418', 'P326', 'P1662', 'P327', 'P328', 'P1050', 'P332', 'P420', 'P1529', 'P1534', 'P1006', 'P837']"
R241,EC5489B(C),EC5489,EC5491,2191.855171,9.365625385,-0.167248503,265.5779048,,"['P825', 'P1048', 'P390', 'P391', 'P393', 'P392', 'P413', 'P345', 'P346', 'P347', 'P1049', 'P951', 'P348', 'P349', 'P350', 'P351', 'P1528', 'P1051', 'P352', 'P353', 'P354', 'P1052', 'P355', 'P1053', 'P1062', 'P1056', 'P828', 'P1536', 'P1064', 'P1538', 'P1541']"
R75,EC5489B(M),EC5489,EC5491,2191.855171,9.365625385,-0.167248503,265.5779048,"['TECW', 'TEDA', 'TEDB', 'TEDC', 'TEDG', 'TEDH', 'TEDJ']","['P825', 'P1048', 'P390', 'P391', 'P393', 'P392', 'P413', 'P345', 'P346', 'P347', 'P1049', 'P951', 'P348', 'P349', 'P350', 'P351', 'P1528', 'P1051', 'P352', 'P353', 'P354', 'P1052', 'P355', 'P1053', 'P1062', 'P1056', 'P828', 'P1536', 'P1064', 'P1538', 'P1541']"
R242,EC5489C(C),EC5489,EC5493,2309.946726,9.099203423,-0.157629671,292.7415286,,"['P825', 'P1048', 'P390', 'P391', 'P393', 'P392', 'P413', 'P345', 'P346', 'P347', 'P1049', 'P951', 'P348', 'P349', 'P350', 'P351', 'P1528', 'P1051', 'P352', 'P353', 'P354', 'P1052', 'P355', 'P1672', 'P425', 'P426', 'P427', 'P1063', 'P1055', 'P829', 'P1537', 'P1539', 'P1054', 'P1540', 'P428', 'P429', 'P430', 'P431']"
